date,region,product_id,revenue,cost,quantity,product_name,category,brand,cost_price,total_cost,profit,margin_percent
2025-11-12,South,P008,1729.3,116.56,10,Backpack Travel,Accessories,UrbanTrail,65.0,1165.6,563.7,32.6
2025-11-09,North,P001,1104.03,191.81,5,Smartphone A,Electronics,TechNova,200.0,959.05,144.98000000000002,13.13
2025-11-11,South,P018,1082.23,92.3,10,,,,,923.0,159.23000000000002,14.71
2025-11-13,South,P019,939.76,90.65,7,,,,,634.5500000000001,305.2099999999999,32.48
2025-11-13,North,P009,61.27,55.02,1,Wireless Mouse,Accessories,ClickIt,40.0,55.02,6.25,10.2
2025-11-12,East,P019,850.18,136.31,5,,,,,681.55,168.63,19.83
2025-11-13,East,P019,737.04,166.65,4,,,,,666.6,70.43999999999994,9.56
2025-11-13,South,P004,1055.35,116.82,8,Desk Chair,Home,ErgoFit,120.0,934.56,120.78999999999996,11.45
2025-11-08,West,P008,255.66,184.46,1,Backpack Travel,Accessories,UrbanTrail,65.0,184.46,71.19999999999999,27.85
2025-11-08,South,P002,1673.47,182.4,8,Laptop X,Electronics,ComputeCore,750.0,1459.2,214.26999999999998,12.8
2025-11-07,West,P017,205.08,51.85,3,,,,,155.55,49.53,24.15
2025-11-12,North,P003,682.27,68.23,7,Headphones Z,Accessories,SoundMax,80.0,477.61,204.65999999999997,30.0
2025-11-10,North,P001,893.59,182.13,4,Smartphone A,Electronics,TechNova,200.0,728.52,165.07000000000005,18.47
2025-11-08,North,P005,309.25,81.11,3,LED Monitor,Electronics,ViewPoint,250.0,243.32999999999998,65.92000000000002,21.32
2025-11-08,South,P006,669.88,151.72,4,Coffee Maker,Home,KitchenPro,90.0,606.88,63.0,9.4
2025-11-12,North,P002,68.45,61.23,1,Laptop X,Electronics,ComputeCore,750.0,61.23,7.220000000000006,10.55
2025-11-10,South,P014,1308.25,152.62,6,,,,,915.72,392.53,30.0
2025-11-09,East,P018,1112.65,175.83,5,,,,,879.1500000000001,233.5,20.99
2025-11-09,East,P014,708.01,104.65,5,,,,,523.25,184.76,26.1
2025-11-09,South,P019,834.07,142.35,4,,,,,569.4,264.6700000000001,31.73
2025-11-09,South,P019,1266.5,149.02,6,,,,,894.1200000000001,372.3799999999999,29.4
2025-11-10,South,P014,1928.04,130.25,10,,,,,1302.5,625.54,32.44
2025-11-10,North,P012,247.45,111.96,2,,,,,223.92,23.53,9.51
2025-11-11,East,P004,670.13,110.26,5,Desk Chair,Home,ErgoFit,120.0,551.3000000000001,118.82999999999993,17.73
2025-11-10,South,P006,2211.22,178.8,9,Coffee Maker,Home,KitchenPro,90.0,1609.2,602.0199999999998,27.23
2025-11-08,North,P002,1664.21,181.67,8,Laptop X,Electronics,ComputeCore,750.0,1453.36,210.85000000000014,12.67
2025-11-11,East,P004,417.46,56.48,5,Desk Chair,Home,ErgoFit,120.0,282.4,135.06,32.35
2025-11-13,East,P004,198.43,67.72,2,Desk Chair,Home,ErgoFit,120.0,135.44,62.99000000000001,31.74
2025-11-09,North,P004,209.15,57.35,3,Desk Chair,Home,ErgoFit,120.0,172.05,37.099999999999994,17.74
2025-11-08,North,P013,1192.65,136.87,7,,,,,958.09,234.56000000000006,19.67
2025-11-11,West,P014,863.81,115.53,6,,,,,693.1800000000001,170.62999999999988,19.75
2025-11-13,North,P019,732.55,119.68,5,,,,,598.4000000000001,134.14999999999986,18.31
2025-11-11,East,P013,156.88,110.19,1,,,,,110.19,46.69,29.76
2025-11-13,East,P015,900.26,88.47,7,,,,,619.29,280.97,31.21
2025-11-12,West,P002,793.18,99.39,6,Laptop X,Electronics,ComputeCore,750.0,596.34,196.83999999999992,24.82
2025-11-07,West,P010,1273.88,168.4,6,Office Desk,Home,ErgoFit,300.0,1010.4000000000001,263.48,20.68
2025-11-08,North,P006,704.7,61.01,10,Coffee Maker,Home,KitchenPro,90.0,610.1,94.60000000000002,13.42
2025-11-10,East,P008,211.05,59.27,3,Backpack Travel,Accessories,UrbanTrail,65.0,177.81,33.24000000000001,15.75
2025-11-08,North,P010,1371.71,115.45,8,Office Desk,Home,ErgoFit,300.0,923.6,448.11,32.67
2025-11-10,West,P003,181.19,77.76,2,Headphones Z,Accessories,SoundMax,80.0,155.52,25.669999999999987,14.17
2025-11-11,North,P011,957.03,160.59,5,,,,,802.95,154.07999999999993,16.1
2025-11-09,South,P020,930.68,103.65,6,,,,,621.9000000000001,308.77999999999986,33.18
2025-11-10,South,P012,407.73,72.36,5,,,,,361.8,45.93000000000001,11.26
2025-11-10,East,P002,159.73,118.74,1,Laptop X,Electronics,ComputeCore,750.0,118.74,40.989999999999995,25.66
2025-11-13,North,P015,1102.84,139.24,6,,,,,835.44,267.39999999999986,24.25
2025-11-10,South,P001,239.82,56.26,3,Smartphone A,Electronics,TechNova,200.0,168.78,71.03999999999999,29.62
2025-11-13,North,P014,104.83,78.51,1,,,,,78.51,26.319999999999993,25.11
2025-11-08,East,P006,1565.08,129.3,10,Coffee Maker,Home,KitchenPro,90.0,1293.0,272.0799999999999,17.38
2025-11-08,West,P007,307.93,109.31,2,Sneakers Air,Sports,RunEase,110.0,218.62,89.31,29.0
2025-11-13,West,P012,623.84,155.58,3,,,,,466.74,157.10000000000002,25.18
2025-11-12,South,P010,2119.71,191.97,10,Office Desk,Home,ErgoFit,300.0,1919.7,200.01,9.44
2025-11-07,North,P001,1278.47,167.51,6,Smartphone A,Electronics,TechNova,200.0,1005.06,273.4100000000001,21.39
2025-11-07,West,P015,550.09,140.22,3,,,,,420.65999999999997,129.43000000000006,23.53
2025-11-07,North,P002,298.63,130.61,2,Laptop X,Electronics,ComputeCore,750.0,261.22,37.40999999999997,12.53
2025-11-08,South,P009,108.44,97.84,1,Wireless Mouse,Accessories,ClickIt,40.0,97.84,10.599999999999994,9.77
2025-11-09,North,P017,1109.89,91.9,10,,,,,919.0,190.8900000000001,17.2
2025-11-10,West,P011,1159.17,111.4,7,,,,,779.8000000000001,379.37,32.73
2025-11-12,West,P006,1836.11,181.65,7,Coffee Maker,Home,KitchenPro,90.0,1271.55,564.56,30.75
2025-11-07,South,P010,132.53,117.35,1,Office Desk,Home,ErgoFit,300.0,117.35,15.180000000000007,11.45
2025-11-10,West,P011,1634.97,141.42,10,,,,,1414.1999999999998,220.7700000000002,13.5
2025-11-13,North,P015,959.69,84.3,9,,,,,758.6999999999999,200.99000000000012,20.94
2025-11-07,West,P007,1477.67,113.92,10,Sneakers Air,Sports,RunEase,110.0,1139.2,338.47,22.91
2025-11-11,South,P020,168.19,117.07,1,,,,,117.07,51.120000000000005,30.39
2025-11-12,North,P017,799.33,76.61,7,,,,,536.27,263.06000000000006,32.91
2025-11-09,North,P018,225.65,62.1,3,,,,,186.3,39.349999999999994,17.44
2025-11-09,South,P002,983.8,120.02,7,Laptop X,Electronics,ComputeCore,750.0,840.14,143.65999999999997,14.6
2025-11-10,South,P013,717.28,106.39,6,,,,,638.34,78.93999999999994,11.01
2025-11-11,South,P007,432.47,125.69,3,Sneakers Air,Sports,RunEase,110.0,377.07,55.400000000000034,12.81
2025-11-07,East,P006,1228.49,177.05,5,Coffee Maker,Home,KitchenPro,90.0,885.25,343.24,27.94
2025-11-12,North,P011,980.97,185.68,4,,,,,742.72,238.25,24.29
2025-11-08,North,P008,166.54,57.93,2,Backpack Travel,Accessories,UrbanTrail,65.0,115.86,50.67999999999999,30.43
2025-11-07,South,P004,357.21,149.59,2,Desk Chair,Home,ErgoFit,120.0,299.18,58.02999999999997,16.25
2025-11-11,North,P005,1011.22,152.23,5,LED Monitor,Electronics,ViewPoint,250.0,761.15,250.07000000000005,24.73
2025-11-12,West,P003,237.93,172.43,1,Headphones Z,Accessories,SoundMax,80.0,172.43,65.5,27.53
2025-11-11,East,P006,635.41,137.06,4,Coffee Maker,Home,KitchenPro,90.0,548.24,87.16999999999996,13.72
2025-11-09,West,P017,1460.67,108.33,10,,,,,1083.3,377.3700000000001,25.84
2025-11-13,South,P001,620.46,55.43,10,Smartphone A,Electronics,TechNova,200.0,554.3,66.16000000000008,10.66
2025-11-07,South,P017,1878.75,192.44,7,,,,,1347.08,531.6700000000001,28.3
2025-11-12,East,P008,1516.69,170.06,6,Backpack Travel,Accessories,UrbanTrail,65.0,1020.36,496.33000000000004,32.72
2025-11-11,West,P011,479.35,126.33,3,,,,,378.99,100.36000000000001,20.94
2025-11-12,South,P019,1622.39,166.08,8,,,,,1328.64,293.75,18.11
2025-11-07,North,P004,259.41,195.19,1,Desk Chair,Home,ErgoFit,120.0,195.19,64.22000000000003,24.76
2025-11-13,North,P016,2199.45,179.96,10,,,,,1799.6000000000001,399.8499999999997,18.18
2025-11-12,North,P004,198.94,166.94,1,Desk Chair,Home,ErgoFit,120.0,166.94,32.0,16.09
2025-11-09,South,P006,375.05,61.27,5,Coffee Maker,Home,KitchenPro,90.0,306.35,68.69999999999999,18.32
2025-11-07,South,P019,2397.91,181.75,9,,,,,1635.75,762.1599999999999,31.78
2025-11-13,West,P005,1080.11,187.08,4,LED Monitor,Electronics,ViewPoint,250.0,748.32,331.78999999999985,30.72
2025-11-12,East,P006,350.59,70.41,4,Coffee Maker,Home,KitchenPro,90.0,281.64,68.94999999999999,19.67
2025-11-12,South,P005,653.21,144.19,4,LED Monitor,Electronics,ViewPoint,250.0,576.76,76.45000000000005,11.7
2025-11-07,West,P019,2043.12,172.62,8,,,,,1380.96,662.1599999999999,32.41
2025-11-07,West,P019,219.04,164.95,1,,,,,164.95,54.09,24.69
2025-11-08,North,P005,1048.18,122.84,7,LED Monitor,Electronics,ViewPoint,250.0,859.88,188.30000000000007,17.96
2025-11-09,West,P002,420.4,121.0,3,Laptop X,Electronics,ComputeCore,750.0,363.0,57.39999999999998,13.65
2025-11-09,North,P015,181.1,155.66,1,,,,,155.66,25.439999999999998,14.05
2025-11-11,North,P011,463.92,135.95,3,,,,,407.84999999999997,56.07000000000005,12.09
2025-11-11,East,P008,1735.12,190.93,8,Backpack Travel,Accessories,UrbanTrail,65.0,1527.44,207.67999999999984,11.97
2025-11-09,South,P004,536.46,65.39,6,Desk Chair,Home,ErgoFit,120.0,392.34000000000003,144.12,26.87
2025-11-08,North,P007,733.72,102.46,5,Sneakers Air,Sports,RunEase,110.0,512.3,221.42000000000007,30.18
2025-11-13,North,P012,1058.61,134.51,7,,,,,941.5699999999999,117.03999999999996,11.06
2025-11-12,South,P013,839.08,83.27,7,,,,,582.89,256.19000000000005,30.53
2025-11-09,North,P016,419.49,53.63,7,,,,,375.41,44.079999999999984,10.51
2025-11-13,North,P013,882.83,108.97,7,,,,,762.79,120.04000000000008,13.6
2025-11-12,West,P006,2076.07,181.69,9,Coffee Maker,Home,KitchenPro,90.0,1635.21,440.8600000000001,21.24
2025-11-13,South,P002,447.74,112.07,3,Laptop X,Electronics,ComputeCore,750.0,336.21,111.53000000000003,24.91
2025-11-09,South,P020,545.69,95.64,4,,,,,382.56,163.13000000000005,29.89
2025-11-08,East,P014,324.13,128.93,2,,,,,257.86,66.26999999999998,20.45
2025-11-11,East,P017,1752.97,130.39,10,,,,,1303.8999999999999,449.07000000000016,25.62
2025-11-12,East,P013,289.57,50.64,4,,,,,202.56,87.00999999999999,30.05
2025-11-12,West,P016,945.4,92.31,7,,,,,646.1700000000001,299.2299999999999,31.65
2025-11-11,West,P019,277.58,196.98,1,,,,,196.98,80.6,29.04
2025-11-10,South,P013,738.21,71.37,7,,,,,499.59000000000003,238.62,32.32
2025-11-12,West,P012,340.4,141.72,2,,,,,283.44,56.95999999999998,16.73
2025-11-09,West,P009,317.41,127.75,2,Wireless Mouse,Accessories,ClickIt,40.0,255.5,61.910000000000025,19.5
2025-11-13,West,P019,728.37,179.23,3,,,,,537.6899999999999,190.68000000000006,26.18
2025-11-07,West,P001,379.48,113.04,3,Smartphone A,Electronics,TechNova,200.0,339.12,40.360000000000014,10.64
2025-11-08,North,P016,715.15,91.4,6,,,,,548.4000000000001,166.7499999999999,23.32
2025-11-12,East,P012,1638.12,188.25,7,,,,,1317.75,320.3699999999999,19.56
2025-11-07,North,P018,1377.6,169.91,6,,,,,1019.46,358.1399999999999,26.0
2025-11-08,East,P020,431.85,154.17,2,,,,,308.34,123.51000000000005,28.6
2025-11-10,West,P006,2301.42,199.66,10,Coffee Maker,Home,KitchenPro,90.0,1996.6,304.82000000000016,13.24
2025-11-09,South,P014,1785.41,173.82,7,,,,,1216.74,568.6700000000001,31.85
2025-11-12,West,P017,1595.84,189.74,6,,,,,1138.44,457.39999999999986,28.66
2025-11-12,West,P010,679.79,92.36,6,Office Desk,Home,ErgoFit,300.0,554.16,125.63,18.48
2025-11-11,North,P019,2259.28,155.28,10,,,,,1552.8,706.4800000000002,31.27
2025-11-10,West,P013,1664.14,146.33,10,,,,,1463.3000000000002,200.83999999999992,12.07
2025-11-13,West,P004,394.11,65.82,5,Desk Chair,Home,ErgoFit,120.0,329.09999999999997,65.01000000000005,16.5
2025-11-11,North,P018,1012.21,96.61,7,,,,,676.27,335.94000000000005,33.19
2025-11-09,West,P008,239.94,170.25,1,Backpack Travel,Accessories,UrbanTrail,65.0,170.25,69.69,29.04
2025-11-13,South,P004,260.71,66.59,3,Desk Chair,Home,ErgoFit,120.0,199.77,60.93999999999997,23.37
2025-11-13,North,P007,515.74,148.54,3,Sneakers Air,Sports,RunEase,110.0,445.62,70.12,13.6
2025-11-12,South,P001,1529.37,172.94,6,Smartphone A,Electronics,TechNova,200.0,1037.6399999999999,491.73,32.15
2025-11-13,West,P019,512.18,189.64,2,,,,,379.28,132.89999999999998,25.95
2025-11-12,South,P018,198.28,176.35,1,,,,,176.35,21.930000000000007,11.06
2025-11-12,East,P005,1230.32,98.06,9,LED Monitor,Electronics,ViewPoint,250.0,882.54,347.78,28.27
2025-11-07,South,P008,92.35,69.15,1,Backpack Travel,Accessories,UrbanTrail,65.0,69.15,23.19999999999999,25.12
2025-11-07,West,P011,986.3,188.1,4,,,,,752.4,233.89999999999998,23.71
2025-11-10,North,P007,431.12,193.56,2,Sneakers Air,Sports,RunEase,110.0,387.12,44.0,10.21
2025-11-13,West,P016,916.01,166.36,4,,,,,665.44,250.56999999999994,27.35
2025-11-09,North,P011,815.14,192.05,3,,,,,576.1500000000001,238.9899999999999,29.32
2025-11-08,West,P014,671.51,108.54,5,,,,,542.7,128.80999999999995,19.18
2025-11-12,East,P004,730.96,73.43,7,Desk Chair,Home,ErgoFit,120.0,514.01,216.95000000000005,29.68
2025-11-09,North,P008,610.83,83.82,6,Backpack Travel,Accessories,UrbanTrail,65.0,502.91999999999996,107.91000000000008,17.67
2025-11-09,South,P009,1202.96,134.36,6,Wireless Mouse,Accessories,ClickIt,40.0,806.1600000000001,396.79999999999995,32.99
2025-11-08,East,P004,1281.09,132.44,8,Desk Chair,Home,ErgoFit,120.0,1059.52,221.56999999999994,17.3
2025-11-07,North,P010,1514.79,183.26,7,Office Desk,Home,ErgoFit,300.0,1282.82,231.97000000000003,15.31
2025-11-12,West,P001,1897.07,136.29,10,Smartphone A,Electronics,TechNova,200.0,1362.8999999999999,534.1700000000001,28.16
2025-11-09,North,P017,1399.08,96.44,10,,,,,964.4,434.67999999999995,31.07
2025-11-10,South,P007,2210.96,179.57,9,Sneakers Air,Sports,RunEase,110.0,1616.1299999999999,594.8300000000002,26.9
2025-11-11,East,P019,935.3,146.36,5,,,,,731.8000000000001,203.4999999999999,21.76
2025-11-08,West,P014,1915.69,155.46,9,,,,,1399.14,516.55,26.96
2025-11-11,East,P003,1929.35,151.99,10,Headphones Z,Accessories,SoundMax,80.0,1519.9,409.4499999999998,21.22
2025-11-10,East,P015,630.47,54.73,8,,,,,437.84,192.63000000000005,30.55
2025-11-13,East,P007,837.86,177.34,4,Sneakers Air,Sports,RunEase,110.0,709.36,128.5,15.34
2025-11-13,East,P010,1262.33,162.1,6,Office Desk,Home,ErgoFit,300.0,972.5999999999999,289.73,22.95
2025-11-09,West,P019,272.54,91.51,2,,,,,183.02,89.52000000000001,32.85
2025-11-11,West,P008,1227.32,121.45,7,Backpack Travel,Accessories,UrbanTrail,65.0,850.15,377.16999999999996,30.73
2025-11-08,South,P010,1426.85,119.38,9,Office Desk,Home,ErgoFit,300.0,1074.42,352.42999999999984,24.7
2025-11-13,East,P008,556.12,186.64,2,Backpack Travel,Accessories,UrbanTrail,65.0,373.28,182.84000000000003,32.88
2025-11-09,South,P012,2654.75,195.74,10,,,,,1957.4,697.3499999999999,26.27
2025-11-11,West,P014,1290.79,95.92,10,,,,,959.2,331.5899999999999,25.69
2025-11-08,East,P008,791.35,142.08,5,Backpack Travel,Accessories,UrbanTrail,65.0,710.4000000000001,80.94999999999993,10.23
2025-11-12,West,P003,729.7,72.64,8,Headphones Z,Accessories,SoundMax,80.0,581.12,148.58000000000004,20.36
2025-11-07,North,P001,888.09,156.57,4,Smartphone A,Electronics,TechNova,200.0,626.28,261.81000000000006,29.48
2025-11-11,East,P009,1433.4,192.91,5,Wireless Mouse,Accessories,ClickIt,40.0,964.55,468.85000000000014,32.71
2025-11-11,North,P009,618.53,150.85,3,Wireless Mouse,Accessories,ClickIt,40.0,452.54999999999995,165.98000000000002,26.83
2025-11-11,South,P001,718.8,68.67,7,Smartphone A,Electronics,TechNova,200.0,480.69,238.10999999999996,33.13
2025-11-08,East,P012,2305.51,168.64,10,,,,,1686.3999999999999,619.1100000000004,26.85
2025-11-12,East,P010,1505.11,182.94,6,Office Desk,Home,ErgoFit,300.0,1097.6399999999999,407.47,27.07
2025-11-08,North,P010,107.89,96.16,1,Office Desk,Home,ErgoFit,300.0,96.16,11.730000000000004,10.87
2025-11-09,North,P002,744.84,76.68,7,Laptop X,Electronics,ComputeCore,750.0,536.76,208.08000000000004,27.94
2025-11-12,East,P018,546.75,143.97,3,,,,,431.90999999999997,114.84000000000003,21.0
2025-11-08,East,P018,175.36,143.92,1,,,,,143.92,31.440000000000026,17.93
2025-11-10,East,P012,722.5,111.7,5,,,,,558.5,164.0,22.7
2025-11-09,North,P005,295.89,124.69,2,LED Monitor,Electronics,ViewPoint,250.0,249.38,46.50999999999999,15.72
2025-11-13,East,P015,844.65,126.82,6,,,,,760.92,83.73000000000002,9.91
2025-11-09,East,P003,1314.64,154.14,6,Headphones Z,Accessories,SoundMax,80.0,924.8399999999999,389.8000000000002,29.65
2025-11-13,East,P015,391.82,172.98,2,,,,,345.96,45.860000000000014,11.7
2025-11-08,North,P005,1515.96,134.32,10,LED Monitor,Electronics,ViewPoint,250.0,1343.1999999999998,172.76000000000022,11.4
2025-11-09,South,P004,1697.62,172.19,8,Desk Chair,Home,ErgoFit,120.0,1377.52,320.0999999999999,18.86
2025-11-12,North,P019,2177.37,178.7,9,,,,,1608.3,569.0699999999999,26.14
2025-11-08,East,P007,248.62,188.18,1,Sneakers Air,Sports,RunEase,110.0,188.18,60.44,24.31
2025-11-10,West,P005,2140.58,161.38,9,LED Monitor,Electronics,ViewPoint,250.0,1452.42,688.1599999999999,32.15
2025-11-13,North,P013,1898.03,158.92,8,,,,,1271.36,626.6700000000001,33.02
2025-11-07,East,P013,689.47,99.6,6,,,,,597.5999999999999,91.87000000000012,13.32
2025-11-11,West,P009,700.11,106.69,5,Wireless Mouse,Accessories,ClickIt,40.0,533.45,166.65999999999997,23.8
2025-11-10,East,P008,1129.68,154.19,5,Backpack Travel,Accessories,UrbanTrail,65.0,770.95,358.73,31.76
2025-11-10,North,P001,743.1,56.07,10,Smartphone A,Electronics,TechNova,200.0,560.7,182.39999999999998,24.55
2025-11-07,West,P003,1157.1,132.99,6,Headphones Z,Accessories,SoundMax,80.0,797.94,359.15999999999985,31.04
2025-11-10,East,P010,111.78,99.29,1,Office Desk,Home,ErgoFit,300.0,99.29,12.489999999999995,11.17
2025-11-10,North,P005,1171.98,118.49,8,LED Monitor,Electronics,ViewPoint,250.0,947.92,224.06000000000006,19.12
2025-11-09,North,P019,248.98,185.9,1,,,,,185.9,63.079999999999984,25.34
2025-11-11,South,P013,1766.97,149.04,9,,,,,1341.36,425.6100000000001,24.09
2025-11-11,West,P018,1289.23,92.16,10,,,,,921.5999999999999,367.6300000000001,28.52
2025-11-09,West,P001,930.85,92.84,9,Smartphone A,Electronics,TechNova,200.0,835.5600000000001,95.28999999999996,10.24
2025-11-12,South,P007,2416.32,168.66,10,Sneakers Air,Sports,RunEase,110.0,1686.6,729.7200000000003,30.2
2025-11-09,South,P001,1741.72,173.96,7,Smartphone A,Electronics,TechNova,200.0,1217.72,524.0,30.09
2025-11-11,South,P014,864.41,150.12,4,,,,,600.48,263.92999999999995,30.53
2025-11-11,West,P019,612.9,118.08,4,,,,,472.32,140.57999999999998,22.94
2025-11-13,North,P020,1796.73,183.24,8,,,,,1465.92,330.80999999999995,18.41
2025-11-07,North,P014,214.23,79.71,2,,,,,159.42,54.81,25.58
2025-11-10,North,P009,910.84,98.17,7,Wireless Mouse,Accessories,ClickIt,40.0,687.19,223.64999999999998,24.55
2025-11-13,North,P004,861.54,125.58,6,Desk Chair,Home,ErgoFit,120.0,753.48,108.05999999999995,12.54
2025-11-13,South,P002,1251.62,175.12,5,Laptop X,Electronics,ComputeCore,750.0,875.6,376.01999999999987,30.04
